station_name,latitude,longitude
EDTL,48.36999893,7.82999992
EGJJ,49.22000122,-2.20000005
LFAQ,49.97000122,2.70000005
LFBA,44.18000031,0.60000002
LFBC,44.52999878,-1.13000000
LFBD,44.83333206,-0.69999999
LFBE,44.81999969,0.51999998
LFBG,45.66999817,-0.31999999
LFBH,46.15000153,-1.14999998
LFBI,46.58333206,0.31666699
LFBL,45.86666870,1.18333304
LFBM,43.91666794,-0.50000000
LFBO,43.63000107,1.37000000
LFBP,43.38000107,-0.41999999
LFBT,43.18333435,0.00000000
LFCR,44.40000153,2.48333311
LFGJ,47.04000092,5.42999983
LFJL,48.97999954,6.25000000
LFJR,47.56000137,-0.31000000
LFKB,42.54999924,9.47999954
LFKF,41.50000000,9.10000038
LFKJ,41.91999817,8.80000019
LFLB,45.65000153,5.88000011
LFLC,45.78333282,3.16666698
LFLL,45.72999954,5.07999992
LFLP,45.93000031,6.11000013
LFLS,45.36999893,5.32999992
LFLX,46.84999847,1.71666706
LFLY,45.72000122,4.94999981
LFMD,43.54999924,6.94999981
LFMH,45.52999878,4.30000019
LFMK,43.21666718,2.31666708
LFML,43.45000076,5.23000002
LFMN,43.65000153,7.19999981
LFMO,44.13000107,4.82999992
LFMP,42.72999954,2.86999989
LFMT,43.58333206,3.96666694
LFMU,43.40000153,3.68000007
LFMV,43.90999985,4.90000010
LFOA,47.04999924,2.65000010
LFOB,49.47000122,2.11999989
LFOE,49.01666641,1.21666706
LFOH,49.52000046,0.07000000
LFOJ,47.97999954,1.75000000
LFOK,48.77000046,4.19999981
LFOP,49.38000107,1.17999995
LFOT,47.45000076,0.72000003
LFPB,48.96666718,2.45000005
LFPG,49.02000046,2.52999997
LFPN,48.76666641,1.10000002
LFPO,48.73333359,2.40000010
LFPV,48.77000046,2.20000005
LFQQ,50.56666565,3.09999990
LFRC,49.65000153,-1.47000003
LFRD,48.58000183,-2.06999993
LFRG,49.36999893,0.17000000
LFRH,47.77000046,-3.45000005
LFRK,49.18000031,-0.44999999
LFRN,48.06999969,-1.73000002
LFRO,48.75999832,-3.47000003
LFRQ,47.96666718,-4.16666698
LFRS,47.16666794,-1.60000002
LFRT,48.53333282,-2.84999990
LFRZ,47.31999969,-2.17000008
LFSB,47.59999847,7.51999998
LFSD,47.26666641,5.08333302
LFSI,48.63000107,4.90000010
LFSO,48.58000183,5.96999979
LFST,48.54999924,7.63333321
LFSX,47.77999878,6.34999990
LFTH,43.09999847,6.15000010
LFTW,43.75000000,4.42000008
LSGG,46.25000000,6.13000011
