models,r2_score,mean_abs_error,execution_time
PR:0,-0.00027726699936914123,223059.9692181702,0.0030007362365722656
PR:1,0.7044520060078882,116406.8569047557,0.0010013580322265625
PR:2,0.7630500908026864,105811.21789348684,0.0020067691802978516
PR:3,0.76660256975779,105190.18935629392,0.0030090808868408203
PR:4,0.7665699246799786,105078.23220855292,0.0020036697387695312
PR:5,0.7666847618066701,105048.11554367852,0.0
PR:6,0.766701012620963,105044.44798636256,0.01001596450805664
PR:7,0.7667131945162553,105041.76110651919,0.009023904800415039
PR:8,0.7667183374790161,105040.90401901817,0.013034343719482422
PR:9,0.7667212181456796,105040.51531697877,0.021056413650512695
PR:10,0.7667227275279682,105040.39139712331,0.03308749198913574
PR:11,0.7667235470895102,105040.37126328904,0.04687833786010742
PR:12,0.7667239861909642,105040.39416586464,0.04687976837158203
PR:13,0.7667242205555543,105040.4293820192,0.07119083404541016
PR:14,0.7667243438572809,105040.46415165077,0.08723139762878418
PR:15,0.7667244075604533,105040.49365167467,0.12433075904846191
