models,r2_score,mean_abs_error,execution_time
NN_MLP:2/identity/lbfgs,0.6957032016669142,117750.17182712346,0.008021354675292969
NN_MLP:2/identity/adam,-24.937559992783832,1323274.468966642,0.4822838306427002
NN_MLP:2/logistic/lbfgs,-0.00027726692791962826,223059.9691141851,0.018050193786621094
NN_MLP:2/logistic/adam,-24.93818524035251,1323290.605724254,0.4752628803253174
NN_MLP:2/tanh/lbfgs,-0.0002772669791397675,223059.9691887291,0.014037370681762695
NN_MLP:2/tanh/adam,-24.9381541015874,1323289.7748593318,0.48328542709350586
NN_MLP:2/relu/lbfgs,0.6957032013877891,117750.1729910967,0.014538764953613281
NN_MLP:2/relu/adam,-24.937558791338223,1323274.4329495332,0.4812812805175781
NN_MLP:4/identity/lbfgs,0.6957032039653874,117750.17277432438,0.008021354675292969
NN_MLP:4/identity/adam,-24.936710665448267,1323252.5052112378,0.46323204040527344
NN_MLP:4/logistic/lbfgs,-0.00027726699937025145,223059.969218172,0.02256011962890625
NN_MLP:4/logistic/adam,-24.937982939586302,1323285.252241964,0.4893012046813965
NN_MLP:4/tanh/lbfgs,-0.0002772669991644161,223059.96921787242,0.016043424606323242
NN_MLP:4/tanh/adam,-24.937915908589112,1323283.4643709247,0.5173759460449219
NN_MLP:4/relu/lbfgs,0.6957032009672235,117750.17291377352,0.011530637741088867
NN_MLP:4/relu/adam,-24.93754164882737,1323273.9623447806,0.4888017177581787
NN_MLP:8/identity/lbfgs,0.6957032031281944,117750.17272824823,0.008522748947143555
NN_MLP:8/identity/adam,-24.935391355588294,1323218.4083173228,0.45972347259521484
NN_MLP:8/logistic/lbfgs,-0.00027726742923706027,223059.96984378446,0.04612231254577637
NN_MLP:8/logistic/adam,-24.937637121422714,1323276.1045419648,0.5424435138702393
NN_MLP:8/tanh/lbfgs,0.7641998484663671,104252.18732922141,0.06266665458679199
NN_MLP:8/tanh/adam,-24.937570131879134,1323274.3031206115,0.6121277809143066
NN_MLP:8/relu/lbfgs,0.695703203255436,117750.1726928205,0.013034820556640625
NN_MLP:8/relu/adam,-24.936588206887844,1323249.3516625138,0.5138669013977051
NN_MLP:16/identity/lbfgs,0.6957032021821371,117750.17288200422,0.009525537490844727
NN_MLP:16/identity/adam,-24.93203782479451,1323131.6771965725,0.4918084144592285
NN_MLP:16/logistic/lbfgs,-0.00027726485563595027,223059.96609823938,0.061148643493652344
NN_MLP:16/logistic/adam,-24.936981633500412,1323258.7459082971,0.5990941524505615
NN_MLP:16/tanh/lbfgs,-0.0002772670078634576,223059.96923053256,0.033591270446777344
NN_MLP:16/tanh/adam,-24.936770084270666,1323253.0870555027,0.6502444744110107
NN_MLP:16/relu/lbfgs,0.6957032055928252,117750.17137370945,0.015541553497314453
NN_MLP:16/relu/adam,-24.934827696026066,1323203.6459305098,0.5715193748474121
NN_MLP:32/identity/lbfgs,0.6957032014166009,117750.17281953926,0.012533187866210938
NN_MLP:32/identity/adam,-24.92500933647367,1322950.198044935,0.5078868865966797
NN_MLP:32/logistic/lbfgs,-0.0002772660390772952,223059.96782059464,0.024564266204833984
NN_MLP:32/logistic/adam,-24.935599530887554,1323222.1668900533,0.7755625247955322
NN_MLP:32/tanh/lbfgs,-0.0002772668225266006,223059.96896079995,0.06767988204956055
NN_MLP:32/tanh/adam,-24.934969693846437,1323205.3585468628,0.8387324810028076
NN_MLP:32/relu/lbfgs,0.7706080633455273,103793.12304526896,0.04411745071411133
NN_MLP:32/relu/adam,-24.934925469387988,1323206.2379480775,0.6221535205841064
NN_MLP:64/identity/lbfgs,0.6957032043268645,117750.17251469783,0.02807474136352539
NN_MLP:64/identity/adam,-24.91188870730279,1322611.2041551035,0.6046080589294434
NN_MLP:64/logistic/lbfgs,-0.00027726671827332794,223059.9688090737,0.1002662181854248
NN_MLP:64/logistic/adam,-24.932772658575757,1323147.3117275548,0.9044053554534912
NN_MLP:64/tanh/lbfgs,-0.00027723266425483395,223059.91924653397,0.10979366302490234
NN_MLP:64/tanh/adam,-24.93170548246187,1323118.8155212172,1.1189768314361572
NN_MLP:64/relu/lbfgs,0.7707032713544613,103913.57245060422,0.20705032348632812
NN_MLP:64/relu/adam,-24.92575826528777,1322969.454372601,0.7745604515075684
NN_MLP:128/identity/lbfgs,0.695703206737422,117750.17165067531,0.05163717269897461
NN_MLP:128/identity/adam,-24.88489478654573,1321913.69707407,0.6597554683685303
NN_MLP:128/logistic/lbfgs,-0.00027741105284206924,223060.17883921246,0.3333873748779297
NN_MLP:128/logistic/adam,-24.927187290243694,1322999.4049034892,1.3009588718414307
NN_MLP:128/tanh/lbfgs,-0.0002772670217139339,223059.96925069034,0.2461545467376709
NN_MLP:128/tanh/adam,-24.924954989163695,1322939.8222464584,1.7351162433624268
NN_MLP:128/relu/lbfgs,0.7707454770997159,103880.25297672945,0.41460299491882324
NN_MLP:128/relu/adam,-24.91572211123236,1322710.1464905294,1.0096838474273682
NN_MLP:256/identity/lbfgs,0.6957032026289551,117750.17264022389,0.08823442459106445
NN_MLP:256/identity/adam,-24.831043865889143,1320520.9722966617,0.7595198154449463
NN_MLP:256/logistic/lbfgs,0.7226185505483299,107849.96352910083,2.5593068599700928
NN_MLP:256/logistic/adam,-24.91603524638245,1322704.0263748935,1.8388912677764893
NN_MLP:256/tanh/lbfgs,-0.0002772670087176632,223059.96923177605,0.5033383369445801
NN_MLP:256/tanh/adam,-24.911565611095607,1322584.7183861185,3.031060218811035
NN_MLP:256/relu/lbfgs,0.7713573395303566,103648.75869711045,0.6547417640686035
NN_MLP:256/relu/adam,-24.889611442672706,1322035.3371143988,1.4533660411834717
