models,r2_score,mean_abs_error,execution_time
PR:0,-0.00027726699936914123,223059.9692181702,0.0025169849395751953
PR:1,0.696451335125261,117764.45223368189,0.0010027885437011719
PR:2,0.7460547574562837,108075.40689305168,0.0010023117065429688
PR:3,0.7503569427696146,107224.07367839638,0.0010025501251220703
PR:4,0.7503289875892338,107243.87574609897,0.0
PR:5,0.7504445367054533,107217.0818682449,0.0
PR:6,0.7504435943922776,107217.48261408867,0.0
PR:7,0.7504479095530459,107216.34832413214,0.0
PR:8,0.7504479870757133,107216.3192243502,0.0015070438385009766
PR:9,0.7504481903997877,107216.26190295401,0.0020051002502441406
PR:10,0.7504482031547626,107216.25746501885,0.0020058155059814453
PR:11,0.7504482145988883,107216.25413327225,0.0020062923431396484
PR:12,0.7504482158976147,107216.25370628733,0.002005338668823242
PR:13,0.7504482166289459,107216.25349155764,0.0
PR:14,0.7504482167461222,107216.25345474565,0.0
PR:15,0.7504482167971995,107216.25343982833,0.0
