models,r2_score,mean_abs_error,execution_time
RF:2,0.747261500399983,108781.90368176634,0.01405477523803711
RF:3,0.766777105085287,105124.73543748209,0.01153111457824707
RF:4,0.7688644628782121,104500.32437555864,0.014036417007446289
RF:5,0.7657347165597312,105304.90164560726,0.015597820281982422
RF:6,0.7603633985431262,106591.66570122668,0.015626192092895508
RF:7,0.7530322674577187,108273.01721823178,0.015627384185791016
RF:8,0.7457561260650218,109722.96709715475,0.01566171646118164
RF:9,0.7337017487120534,112260.03066825333,0.024431228637695312
RF:10,0.7228296065037625,113064.5480958433,0.018047332763671875
RF:11,0.7102701267534368,115494.04940402124,0.02208566665649414
RF:12,0.7065942938247525,116218.89235017422,0.0240631103515625
RF:13,0.6858694114239281,120027.5468085697,0.024062395095825195
RF:14,0.6787772075988491,120585.70869036144,0.028611421585083008
