trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.5}",20,0,-125.00932705783433,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.25}",25,0,-32.68935064854899,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.16666666666666666}",30,4,-36.82019976593564,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.125}",30,0,-6.693874594433557,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.1}",30,0,-11.770788168189895,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.08333333333333333}",20,0,-29.483529850702126,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.07142857142857142}",30,0,-2.820657835707683,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.0625}",25,16,2.692464039146497,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.05555555555555555}",20,0,-30.63706848849758,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.05}",20,12,13.93273617218811,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.045454545454545456}",30,15,16.267292645723508,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.041666666666666664}",20,0,-5.426539332916639,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.038461538461538464}",20,0,7.291535240177192,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.03571428571428571}",20,8,16.30478585042217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.03333333333333333}",20,0,19.273671302939526,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.03125}",20,9,19.159177554332143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.029411764705882353}",20,1,7.093115119242801,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.027777777777777776}",25,0,41.37336511072023,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.02631578947368421}",20,0,25.394300158652644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.025}",20,0,-113.2962329392029,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
21,False,"{'a': 0.7, 'e': 0.023809523809523808}",25,11,10.8433551227177,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
